Deployment_id,Longitude,Latitude,o1,o2,o3,o4,o5,d1,d2,d3,d4,d5,p1,p2,p3,p4,p5,e1,e2,e3,e4,e5
PU_Oct-Dec2017_CT-PU-02-26,-76.3445,1.76503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,1
PU_Oct-Dec2017_CT-PU-01-27,-76.33081,1.80175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,2.5
PU_Oct-Dec2017_CT-PU-02-27,-76.32642,1.77875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,8.5,1
PU_Oct-Dec2017_CT-PU-01-28,-76.34511,1.7835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
PU_Oct-Dec2017_CT-PU-02-28,-76.33078,1.76981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,1
PU_Oct-Dec2017_CT-PU-01-29,-76.33975,1.78792,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,9.5,10,10,10,3.5
PU_Oct-Dec2017_CT-PU-02-29,-76.33444,1.76081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,6.5,1
PU_Oct-Dec2017_CT-PU-01-30,-76.33497,1.80131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,2.5
PU_Oct-Dec2017_CT-PU-02-30,-76.33506,1.75511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,6.5,1
PU_Oct-Dec2017_CT-PU-01-31,-76.33072,1.78361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.5,10,10,10,1.5
PU_Oct-Dec2017_CT-PU-02-31,-76.33956,1.75142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,6.5,1
PU_Oct-Dec2017_CT-PU-01-32,-76.33511,1.78344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,7.5,2
PU_Oct-Dec2017_CT-PU-02-32,-76.34017,1.7471,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9.5,10,10,6.5,3
PU_Oct-Dec2017_CT-PU-01-33,-76.35825,1.79244,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9.5,10,10,3.5,4
