CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-07-29 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-07-30 00:00,mm,7.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-07-31 00:00,mm,2.3,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-01 00:00,mm,1.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-02 00:00,mm,0.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-03 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-04 00:00,mm,2.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-05 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-06 00:00,mm,5.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-07 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-08 00:00,mm,9.9,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-09 00:00,mm,1.9,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-10 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-11 00:00,mm,1.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-12 00:00,mm,1.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-13 00:00,mm,0.3,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-14 00:00,mm,6.4,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-15 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-16 00:00,mm,1.3,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-17 00:00,mm,2.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-18 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-19 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-20 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-21 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-22 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-23 00:00,mm,0.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-24 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-25 00:00,mm,12.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-26 00:00,mm,2.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-27 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-28 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-29 00:00,mm,1,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-30 00:00,mm,6.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-08-31 00:00,mm,10.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-01 00:00,mm,6.4,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-02 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-03 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-04 00:00,mm,6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-05 00:00,mm,1.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-06 00:00,mm,0.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-07 00:00,mm,7.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-08 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-09 00:00,mm,5.9,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-10 00:00,mm,1.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-11 00:00,mm,61.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-12 00:00,mm,0.9,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-13 00:00,mm,63,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-14 00:00,mm,18.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-15 00:00,mm,31.8,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-16 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-17 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-18 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-19 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-20 00:00,mm,8.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-21 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-22 00:00,mm,3.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-23 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-24 00:00,mm,1.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-25 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-26 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-27 00:00,mm,6.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-28 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-29 00:00,mm,44.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-09-30 00:00,mm,67.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-01 00:00,mm,13,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-02 00:00,mm,0.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-03 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-04 00:00,mm,13.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-05 00:00,mm,0,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-06 00:00,mm,32.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-07 00:00,mm,5.6,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-08 00:00,mm,26.2,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-09 00:00,mm,2.7,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-10 00:00,mm,5.9,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-11 00:00,mm,11.5,Definitivo
26130570,NUEVO LIBARE [26130570],PRECIPITACION,Día pluviométrico (convencional),2016-10-12 00:00,mm,0,Definitivo
